Value,Format,Metric,Year
177.6670691,SoundExchange Distributions,Value (Adjusted),2009
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2009
,Other Ad-Supported Streaming,Value (Adjusted),2009
229.881764,Synchronization,Value (Adjusted),2009
253,CD,Units,2010
1,CD Single,Units,2010
,Cassette,Units,2010
,Cassette Single,Units,2010
4.2,LP/EP,Units,2010
0.3,Vinyl Single,Units,2010
,8 - Track,Units,2010
,Other Tapes,Units,2010
9.1,Music Video (Physical),Units,2010
0.04,DVD Audio,Units,2010
0.1,SACD,Units,2010
1177.4,Download Single,Units,2010
85.8,Download Album,Units,2010
1.7,Kiosk,Units,2010
18.4,Download Music Video,Units,2010
188.5,Ringtones & Ringbacks,Units,2010
,,Units,2010
1.5,Paid Subscriptions,Units,2010
3389.4,CD,Value,2010
2.9,CD Single,Value,2010
,Cassette,Value,2010
,Cassette Single,Value,2010
88.9,LP/EP,Value,2010
2.3,Vinyl Single,Value,2010
,8 - Track,Value,2010
,Other Tapes,Value,2010
177.6,Music Video (Physical),Value,2010
0.9,DVD Audio,Value,2010
1.7,SACD,Value,2010
1336.4,Download Single,Value,2010
872.4,Download Album,Value,2010
6.4,Kiosk,Value,2010
36.6,Download Music Video,Value,2010
448,Ringtones & Ringbacks,Value,2010
,Other Digital,Value,2010
212.4,Paid Subscription,Value,2010
,Limited Tier Paid Subscription,Value,2010
249.2,SoundExchange Distributions,Value,2010
,On-Demand Streaming (Ad-Supported),Value,2010
,Other Ad-Supported Streaming,Value,2010
188.7,Synchronization,Value,2010
3810.075063,CD,Value (Adjusted),2010
3.259933228,CD Single,Value (Adjusted),2010
,Cassette,Value (Adjusted),2010
,Cassette Single,Value (Adjusted),2010
99.93381517,LP/EP,Value (Adjusted),2010
2.585464284,Vinyl Single,Value (Adjusted),2010
,8 - Track,Value (Adjusted),2010
,Other Tapes,Value (Adjusted),2010
199.6428074,Music Video (Physical),Value (Adjusted),2010
1.011703416,DVD Audio,Value (Adjusted),2010
1.910995341,SACD,Value (Adjusted),2010
1502.267161,Download Single,Value (Adjusted),2010
980.6778442,Download Album,Value (Adjusted),2010
7.1943354,Kiosk,Value (Adjusted),2010
41.14260557,Download Music Video,Value (Adjusted),2010
503.603478,Ringtones & Ringbacks,Value (Adjusted),2010
,Other Digital,Value (Adjusted),2010
238.7620061,Paid Subscription,Value (Adjusted),2010
,Limited Tier Paid Subscription,Value (Adjusted),2010
280.1294346,SoundExchange Distributions,Value (Adjusted),2010
,On-Demand Streaming (Ad-Supported),Value (Adjusted),2010
,Other Ad-Supported Streaming,Value (Adjusted),2010
212.1204828,Synchronization,Value (Adjusted),2010
240.8,CD,Units,2011
1.3,CD Single,Units,2011
,Cassette,Units,2011
,Cassette Single,Units,2011
5.5,LP/EP,Units,2011
0.4,Vinyl Single,Units,2011
,8 - Track,Units,2011
,Other Tapes,Units,2011
7.7,Music Video (Physical),Units,2011
0.01,DVD Audio,Units,2011
0.1,SACD,Units,2011
1332.3,Download Single,Units,2011
103.9,Download Album,Units,2011
1.3,Kiosk,Units,2011
16.3,Download Music Video,Units,2011
115.4,Ringtones & Ringbacks,Units,2011
,,Units,2011
1.8,Paid Subscriptions,Units,2011
3100.7,CD,Value,2011
3.5,CD Single,Value,2011
,Cassette,Value,2011
,Cassette Single,Value,2011
119.4,LP/EP,Value,2011
4.6,Vinyl Single,Value,2011
,8 - Track,Value,2011
,Other Tapes,Value,2011
151,Music Video (Physical),Value,2011
0.3,DVD Audio,Value,2011
1.5,SACD,Value,2011
1522.4,Download Single,Value,2011
1070.8,Download Album,Value,2011
2.7,Kiosk,Value,2011
32.4,Download Music Video,Value,2011
276.2,Ringtones & Ringbacks,Value,2011
,Other Digital,Value,2011
247.8,Paid Subscription,Value,2011
,Limited Tier Paid Subscription,Value,2011
292,SoundExchange Distributions,Value,2011
113.8,On-Demand Streaming (Ad-Supported),Value,2011
,Other Ad-Supported Streaming,Value,2011
196.5,Synchronization,Value,2011
3378.887538,CD,Value (Adjusted),2011
3.814011799,CD Single,Value (Adjusted),2011
,Cassette,Value (Adjusted),2011
,Cassette Single,Value (Adjusted),2011
130.1122882,LP/EP,Value (Adjusted),2011
5.012701221,Vinyl Single,Value (Adjusted),2011
,8 - Track,Value (Adjusted),2011
,Other Tapes,Value (Adjusted),2011
164.5473662,Music Video (Physical),Value (Adjusted),2011
0.326915297,DVD Audio,Value (Adjusted),2011
1.634576485,SACD,Value (Adjusted),2011
1658.986161,Download Single,Value (Adjusted),2011
1166.869667,Download Album,Value (Adjusted),2011
2.942237673,Kiosk,Value (Adjusted),2011
35.30685208,Download Music Video,Value (Adjusted),2011
300.9800168,Ringtones & Ringbacks,Value (Adjusted),2011
,Other Digital,Value (Adjusted),2011
270.0320354,Paid Subscription,Value (Adjusted),2011
,Limited Tier Paid Subscription,Value (Adjusted),2011
318.1975558,SoundExchange Distributions,Value (Adjusted),2011
124.0098693,On-Demand Streaming (Ad-Supported),Value (Adjusted),2011
,Other Ad-Supported Streaming,Value (Adjusted),2011
214.1295196,Synchronization,Value (Adjusted),2011
198.164,CD,Units,2012
1.073,CD Single,Units,2012
,Cassette,Units,2012
,Cassette Single,Units,2012
6.915,LP/EP,Units,2012
0.389,Vinyl Single,Units,2012
,8 - Track,Units,2012
,Other Tapes,Units,2012
6.033,Music Video (Physical),Units,2012
0.009,DVD Audio,Units,2012
0.065,SACD,Units,2012
1402.739,Download Single,Units,2012
116.734,Download Album,Units,2012
1.955,Kiosk,Units,2012
10.473,Download Music Video,Units,2012
58.757,Ringtones & Ringbacks,Units,2012
,,Units,2012
3.36,Paid Subscriptions,Units,2012
2485.615,CD,Value,2012
3.225,CD Single,Value,2012
,Cassette,Value,2012
,Cassette Single,Value,2012
160.723,LP/EP,Value,2012
4.743,Vinyl Single,Value,2012
,8 - Track,Value,2012
,Other Tapes,Value,2012
116.614,Music Video (Physical),Value,2012
0.183,DVD Audio,Value,2012
1.343,SACD,Value,2012
1644.571,Download Single,Value,2012
1204.822,Download Album,Value,2012
3.654,Kiosk,Value,2012
20.842,Download Music Video,Value,2012
145.993,Ringtones & Ringbacks,Value,2012
,Other Digital,Value,2012
399.883,Paid Subscription,Value,2012
,Limited Tier Paid Subscription,Value,2012
462,SoundExchange Distributions,Value,2012
170.935,On-Demand Streaming (Ad-Supported),Value,2012
,Other Ad-Supported Streaming,Value,2012
190.598,Synchronization,Value,2012
2653.701529,CD,Value (Adjusted),2012
3.443086492,CD Single,Value (Adjusted),2012
,Cassette,Value (Adjusted),2012
,Cassette Single,Value (Adjusted),2012
171.5916869,LP/EP,Value (Adjusted),2012
5.063739296,Vinyl Single,Value (Adjusted),2012
,8 - Track,Value (Adjusted),2012
,Other Tapes,Value (Adjusted),2012
124.4998723,Music Video (Physical),Value (Adjusted),2012
0.19537514,DVD Audio,Value (Adjusted),2012
1.433818654,SACD,Value (Adjusted),2012
1755.783006,Download Single,Value (Adjusted),2012
1286.296544,Download Album,Value (Adjusted),2012
3.901097067,Kiosk,Value (Adjusted),2012
22.25141354,Download Music Video,Value (Adjusted),2012
155.8655895,Ringtones & Ringbacks,Value (Adjusted),2012
,Other Digital,Value (Adjusted),2012
426.9245754,Paid Subscription,Value (Adjusted),2012
,Limited Tier Paid Subscription,Value (Adjusted),2012
493.2421579,SoundExchange Distributions,Value (Adjusted),2012
182.4942603,On-Demand Streaming (Ad-Supported),Value (Adjusted),2012
,Other Ad-Supported Streaming,Value (Adjusted),2012
203.4869455,Synchronization,Value (Adjusted),2012
173.793,CD,Units,2013
0.629,CD Single,Units,2013
,Cassette,Units,2013
,Cassette Single,Units,2013
9.351,LP/EP,Units,2013
0.316,Vinyl Single,Units,2013
,8 - Track,Units,2013
,Other Tapes,Units,2013
4.815,Music Video (Physical),Units,2013
,DVD Audio,Units,2013
0.045,SACD,Units,2013
1332.795,Download Single,Units,2013
117.979,Download Album,Units,2013
3.744,Kiosk,Units,2013
8.412,Download Music Video,Units,2013
39.366,Ringtones & Ringbacks,Units,2013
,,Units,2013
6.16,Paid Subscriptions,Units,2013
2140.918,CD,Value,2013
2.446,CD Single,Value,2013
,Cassette,Value,2013
,Cassette Single,Value,2013
210.739,LP/EP,Value,2013
2.979,Vinyl Single,Value,2013
,8 - Track,Value,2013
,Other Tapes,Value,2013
106.283,Music Video (Physical),Value,2013
,DVD Audio,Value,2013
0.978,SACD,Value,2013
1573.421,Download Single,Value,2013
1232.14,Download Album,Value,2013
6.184,Kiosk,Value,2013
16.741,Download Music Video,Value,2013
98,Ringtones & Ringbacks,Value,2013
,Other Digital,Value,2013
643.324,Paid Subscription,Value,2013
,Limited Tier Paid Subscription,Value,2013
590.4,SoundExchange Distributions,Value,2013
220.874,On-Demand Streaming (Ad-Supported),Value,2013
,Other Ad-Supported Streaming,Value,2013
189.679,Synchronization,Value,2013
2252.698224,CD,Value (Adjusted),2013
2.573708968,CD Single,Value (Adjusted),2013
,Cassette,Value (Adjusted),2013
,Cassette Single,Value (Adjusted),2013
221.7419682,LP/EP,Value (Adjusted),2013
3.134537619,Vinyl Single,Value (Adjusted),2013
,8 - Track,Value (Adjusted),2013
,Other Tapes,Value (Adjusted),2013
111.8321792,Music Video (Physical),Value (Adjusted),2013
,DVD Audio,Value (Adjusted),2013
1.029062703,SACD,Value (Adjusted),2013
1655.571438,Download Single,Value (Adjusted),2013
1296.471696,Download Album,Value (Adjusted),2013
6.506875003,Kiosk,Value (Adjusted),2013
17.61507025,Download Music Video,Value (Adjusted),2013
103.1167125,Ringtones & Ringbacks,Value (Adjusted),2013
,Other Digital,Value (Adjusted),2013
676.912816,Paid Subscription,Value (Adjusted),2013
,Limited Tier Paid Subscription,Value (Adjusted),2013
621.2255824,SoundExchange Distributions,Value (Adjusted),2013
232.4061302,On-Demand Streaming (Ad-Supported),Value (Adjusted),2013
,Other Ad-Supported Streaming,Value (Adjusted),2013
199.5823971,Synchronization,Value (Adjusted),2013
138.702,CD,Units,2014
0.929,CD Single,Units,2014
,Cassette,Units,2014
,Cassette Single,Units,2014
10.316,LP/EP,Units,2014
0.481,Vinyl Single,Units,2014
,8 - Track,Units,2014
,Other Tapes,Units,2014
4.065,Music Video (Physical),Units,2014
0.067,DVD Audio,Units,2014
0.03,SACD,Units,2014
1154.379,Download Single,Units,2014
114.23,Download Album,Units,2014
1.592,Kiosk,Units,2014
6.823,Download Music Video,Units,2014
26.632,Ringtones & Ringbacks,Units,2014
,,Units,2014
7.73,Paid Subscriptions,Units,2014
1776.249,CD,Value,2014
3.616,CD Single,Value,2014
,Cassette,Value,2014
,Cassette Single,Value,2014
243.847,LP/EP,Value,2014
5.499,Vinyl Single,Value,2014
,8 - Track,Value,2014
,Other Tapes,Value,2014
89.706,Music Video (Physical),Value,2014
2.139,DVD Audio,Value,2014
0.763,SACD,Value,2014
1355.331,Download Single,Value,2014
1117.9,Download Album,Value,2014
2.583,Kiosk,Value,2014
13.577,Download Music Video,Value,2014
66.311,Ringtones & Ringbacks,Value,2014
,Other Digital,Value,2014
770.271,Paid Subscription,Value,2014
,Limited Tier Paid Subscription,Value,2014
773.4,SoundExchange Distributions,Value,2014
283.793,On-Demand Streaming (Ad-Supported),Value,2014
,Other Ad-Supported Streaming,Value,2014
189.713,Synchronization,Value,2014
1839.154818,CD,Value (Adjusted),2014
3.744060557,CD Single,Value (Adjusted),2014
,Cassette,Value (Adjusted),2014
,Cassette Single,Value (Adjusted),2014
252.4828359,LP/EP,Value (Adjusted),2014
5.693746959,Vinyl Single,Value (Adjusted),2014
,8 - Track,Value (Adjusted),2014
,Other Tapes,Value (Adjusted),2014
92.88293593,Music Video (Physical),Value (Adjusted),2014
2.214752636,DVD Audio,Value (Adjusted),2014
0.790021627,SACD,Value (Adjusted),2014
1403.330016,Download Single,Value (Adjusted),2014
1157.490403,Download Album,Value (Adjusted),2014
2.674476886,Kiosk,Value (Adjusted),2014
14.05782914,Download Music Video,Value (Adjusted),2014
68.65940254,Ringtones & Ringbacks,Value (Adjusted),2014
,Other Digital,Value (Adjusted),2014
797.5501298,Paid Subscription,Value (Adjusted),2014
,Limited Tier Paid Subscription,Value (Adjusted),2014
800.7899432,SoundExchange Distributions,Value (Adjusted),2014
293.8435226,On-Demand Streaming (Ad-Supported),Value (Adjusted),2014
,Other Ad-Supported Streaming,Value (Adjusted),2014
196.4316815,Synchronization,Value (Adjusted),2014
117.144,CD,Units,2015
0.387,CD Single,Units,2015
,Cassette,Units,2015
,Cassette Single,Units,2015
13.681,LP/EP,Units,2015
0.508,Vinyl Single,Units,2015
,8 - Track,Units,2015
,Other Tapes,Units,2015
3.133,Music Video (Physical),Units,2015
0.18,DVD Audio,Units,2015
0.042,SACD,Units,2015
986.255,Download Single,Units,2015
106.784,Download Album,Units,2015
2.203,Kiosk,Units,2015
3.223,Download Music Video,Units,2015
21.925,Ringtones & Ringbacks,Units,2015
,,Units,2015
10.84,Paid Subscriptions,Units,2015
1444.993,CD,Value,2015
1.197,CD Single,Value,2015
,Cassette,Value,2015
,Cassette Single,Value,2015
333.38,LP/EP,Value,2015
5.753,Vinyl Single,Value,2015
,8 - Track,Value,2015
,Other Tapes,Value,2015
70.434,Music Video (Physical),Value,2015
5.416,DVD Audio,Value,2015
1.043,SACD,Value,2015
1185.238,Download Single,Value,2015
1064.434,Download Album,Value,2015
3.7,Kiosk,Value,2015
6.414,Download Music Video,Value,2015
54.582,Ringtones & Ringbacks,Value,2015
,Other Digital,Value,2015
1156.709,Paid Subscription,Value,2015
,Limited Tier Paid Subscription,Value,2015
802.6,SoundExchange Distributions,Value,2015
371.99,On-Demand Streaming (Ad-Supported),Value,2015
,Other Ad-Supported Streaming,Value,2015
202.935,Synchronization,Value,2015
1494.393584,CD,Value (Adjusted),2015
1.237922343,CD Single,Value (Adjusted),2015
,Cassette,Value (Adjusted),2015
,Cassette Single,Value (Adjusted),2015
344.7774025,LP/EP,Value (Adjusted),2015
5.949680234,Vinyl Single,Value (Adjusted),2015
,8 - Track,Value (Adjusted),2015
,Other Tapes,Value (Adjusted),2015
72.84195682,Music Video (Physical),Value (Adjusted),2015
5.601159073,DVD Audio,Value (Adjusted),2015
1.07865748,SACD,Value (Adjusted),2015
1225.758231,Download Single,Value (Adjusted),2015
1100.824253,Download Album,Value (Adjusted),2015
3.826493458,Kiosk,Value (Adjusted),2015
6.633278119,Download Music Video,Value (Adjusted),2015
56.44801782,Ringtones & Ringbacks,Value (Adjusted),2015
,Other Digital,Value (Adjusted),2015
1196.253898,Paid Subscription,Value (Adjusted),2015
,Limited Tier Paid Subscription,Value (Adjusted),2015
830.0388242,SoundExchange Distributions,Value (Adjusted),2015
384.7073788,On-Demand Streaming (Ad-Supported),Value (Adjusted),2015
,Other Ad-Supported Streaming,Value (Adjusted),2015
209.8728243,Synchronization,Value (Adjusted),2015
97.577,CD,Units,2016
0.122,CD Single,Units,2016
,Cassette,Units,2016
,Cassette Single,Units,2016
14.771,LP/EP,Units,2016
0.404,Vinyl Single,Units,2016
,8 - Track,Units,2016
,Other Tapes,Units,2016
2.496,Music Video (Physical),Units,2016
0.086,DVD Audio,Units,2016
0.045,SACD,Units,2016
743.003,Download Single,Units,2016
85.123,Download Album,Units,2016
1.749,Kiosk,Units,2016
2.145,Download Music Video,Units,2016
22.621,Ringtones & Ringbacks,Units,2016
,,Units,2016
22.68,Paid Subscriptions,Units,2016
1130.765,CD,Value,2016
0.263,CD Single,Value,2016
,Cassette,Value,2016
,Cassette Single,Value,2016
355.431,LP/EP,Value,2016
4.881,Vinyl Single,Value,2016
,8 - Track,Value,2016
,Other Tapes,Value,2016
56.923,Music Video (Physical),Value,2016
2.836,DVD Audio,Value,2016
1.207,SACD,Value,2016
872.893,Download Single,Value,2016
818.797,Download Album,Value,2016
2.775,Kiosk,Value,2016
4.31,Download Music Video,Value,2016
51.034,Ringtones & Ringbacks,Value,2016
17.142,Other Digital,Value,2016
2244.154,Paid Subscription,Value,2016
263.364,Limited Tier Paid Subscription,Value,2016
883.9,SoundExchange Distributions,Value,2016
489.378,On-Demand Streaming (Ad-Supported),Value,2016
81.261,Other Ad-Supported Streaming,Value,2016
204.434,Synchronization,Value,2016
1154.854303,CD,Value (Adjusted),2016
0.268602832,CD Single,Value (Adjusted),2016
,Cassette,Value (Adjusted),2016
,Cassette Single,Value (Adjusted),2016
363.0029404,LP/EP,Value (Adjusted),2016
4.984982605,Vinyl Single,Value (Adjusted),2016
,8 - Track,Value (Adjusted),2016
,Other Tapes,Value (Adjusted),2016
58.13566171,Music Video (Physical),Value (Adjusted),2016
2.896416855,DVD Audio,Value (Adjusted),2016
1.232713379,SACD,Value (Adjusted),2016
891.4887156,Download Single,Value (Adjusted),2016
836.240279,Download Album,Value (Adjusted),2016
2.834117338,Kiosk,Value (Adjusted),2016
4.40181828,Download Music Video,Value (Adjusted),2016
52.12120513,Ringtones & Ringbacks,Value (Adjusted),2016
17.50718537,Other Digital,Value (Adjusted),2016
2291.962436,Paid Subscription,Value (Adjusted),2016
268.9745869,Limited Tier Paid Subscription,Value (Adjusted),2016
902.7302037,SoundExchange Distributions,Value (Adjusted),2016
499.8034864,On-Demand Streaming (Ad-Supported),Value (Adjusted),2016
82.9921474,Other Ad-Supported Streaming,Value (Adjusted),2016
208.789169,Synchronization,Value (Adjusted),2016
87.559,CD,Units,2017
0.128,CD Single,Units,2017
,Cassette,Units,2017
,Cassette Single,Units,2017
15.556,LP/EP,Units,2017
0.403,Vinyl Single,Units,2017
,8 - Track,Units,2017
,Other Tapes,Units,2017
1.877,Music Video (Physical),Units,2017
0.061,DVD Audio,Units,2017
0.033,SACD,Units,2017
553.516,Download Single,Units,2017
66.386,Download Album,Units,2017
1.322,Kiosk,Units,2017
1.4,Download Music Video,Units,2017
14.263,Ringtones & Ringbacks,Units,2017
,,Units,2017
35.27,Paid Subscriptions,Units,2017
1057.323,CD,Value,2017
1.462,CD Single,Value,2017
,Cassette,Value,2017
,Cassette Single,Value,2017
388.511,LP/EP,Value,2017
6.078,Vinyl Single,Value,2017
,8 - Track,Value,2017
,Other Tapes,Value,2017
38.619,Music Video (Physical),Value,2017
2.607,DVD Audio,Value,2017
0.851,SACD,Value,2017
650.816,Download Single,Value,2017
623.687,Download Album,Value,2017
2.292,Kiosk,Value,2017
2.859,Download Music Video,Value,2017
34.198,Ringtones & Ringbacks,Value,2017
16.885,Other Digital,Value,2017
3500.55,Paid Subscription,Value,2017
591.601,Limited Tier Paid Subscription,Value,2017
652,SoundExchange Distributions,Value,2017
658.606,On-Demand Streaming (Ad-Supported),Value,2017
261.787,Other Ad-Supported Streaming,Value,2017
232.087,Synchronization,Value,2017
1057.323,CD,Value (Adjusted),2017
1.462,CD Single,Value (Adjusted),2017
,Cassette,Value (Adjusted),2017
,Cassette Single,Value (Adjusted),2017
388.511,LP/EP,Value (Adjusted),2017
6.078,Vinyl Single,Value (Adjusted),2017
,8 - Track,Value (Adjusted),2017
,Other Tapes,Value (Adjusted),2017
38.619,Music Video (Physical),Value (Adjusted),2017
2.607,DVD Audio,Value (Adjusted),2017
0.851,SACD,Value (Adjusted),2017
650.816,Download Single,Value (Adjusted),2017
623.687,Download Album,Value (Adjusted),2017
2.292,Kiosk,Value (Adjusted),2017
2.859,Download Music Video,Value (Adjusted),2017
34.198,Ringtones & Ringbacks,Value (Adjusted),2017
16.885,Other Digital,Value (Adjusted),2017
3500.55,Paid Subscription,Value (Adjusted),2017
591.601,Limited Tier Paid Subscription,Value (Adjusted),2017
652,SoundExchange Distributions,Value (Adjusted),2017
658.606,On-Demand Streaming (Ad-Supported),Value (Adjusted),2017
261.787,Other Ad-Supported Streaming,Value (Adjusted),2017
232.087,Synchronization,Value (Adjusted),2017
